ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2021-06-14,34,2021,6,14,0,0,3,35.7,29.6,6.100000000000001,0.0,0,0,1,0,33.0,14.0,28.857142857142858,18.428571428571427,28.672202059376836,9.42388050696357,10.0,38.0
2021-06-15,38,2021,6,15,1,0,3,36.5,27.7,8.8,7.2,1,0,1,0,34.0,10.0,32.857142857142854,20.642857142857142,31.004151544532625,4.980915960897808,24.0,38.0
2021-06-16,34,2021,6,16,2,0,3,38.6,28.6,10.0,6.5,1,0,0,0,38.0,29.0,33.57142857142857,22.5,31.75311365839947,4.685336802449043,24.0,38.0
2021-06-17,48,2021,6,17,3,0,3,37.5,29.1,8.399999999999999,54.0,1,0,0,0,34.0,24.0,37.0,25.071428571428573,35.81483524379961,5.259911279353283,33.0,48.0
2021-06-18,39,2021,6,18,4,0,3,37.0,28.8,8.2,0.0,0,0,0,0,48.0,38.0,37.142857142857146,27.642857142857142,36.6111264328497,5.304984179322151,33.0,48.0
2021-06-19,38,2021,6,19,5,1,3,37.5,29.0,8.5,0.0,0,0,0,0,39.0,34.0,37.714285714285715,29.928571428571427,36.95834482463728,5.122313465427141,33.0,48.0
2021-06-20,38,2021,6,20,6,1,3,37.5,28.2,9.3,42.0,1,1,0,0,38.0,33.0,38.42857142857143,32.214285714285715,37.21875861847796,4.685336802448856,34.0,48.0
2021-06-21,28,2021,6,21,0,0,3,36.6,28.0,8.600000000000001,19.5,1,1,0,0,38.0,34.0,37.57142857142857,33.214285714285715,34.91406896385847,5.996030432909923,28.0,48.0
2021-06-22,34,2021,6,22,1,0,3,35.0,26.6,8.399999999999999,207.2,1,0,0,0,28.0,38.0,37.0,34.92857142857143,34.68555172289385,6.137317546507421,28.0,48.0
2021-06-23,58,2021,6,23,2,0,3,35.6,27.2,8.400000000000002,404.0,1,0,0,0,34.0,34.0,40.42857142857143,37.0,40.514163792170386,9.795528620364548,28.0,58.0
2021-06-24,30,2021,6,24,3,0,3,31.6,26.4,5.200000000000003,79.2,1,0,0,0,58.0,48.0,37.857142857142854,37.42857142857143,37.88562284412779,9.839183086492735,28.0,58.0
2021-06-25,44,2021,6,25,4,0,3,33.6,27.3,6.300000000000001,0.0,0,0,0,0,30.0,39.0,38.57142857142857,37.857142857142854,39.41421713309584,10.113640011673095,28.0,58.0
2021-06-26,37,2021,6,26,5,1,3,33.9,27.0,6.899999999999999,60.800000000000004,1,0,0,0,44.0,38.0,38.42857142857143,38.07142857142857,38.81066284982188,10.130106002359913,28.0,58.0
2021-06-27,20,2021,6,27,6,1,3,31.6,26.9,4.700000000000003,127.4,1,1,0,0,37.0,38.0,35.857142857142854,37.142857142857146,34.10799713736641,12.307566391297351,20.0,58.0
2021-06-28,46,2021,6,28,0,0,3,32.4,25.7,6.699999999999999,475.20000000000005,1,0,0,0,20.0,28.0,38.42857142857143,38.0,37.08099785302481,12.272695205986675,20.0,58.0
2021-06-29,46,2021,6,29,1,0,3,32.0,27.8,4.199999999999999,68.8,1,0,0,0,46.0,34.0,40.142857142857146,38.57142857142857,39.310748389768605,12.388550781919191,20.0,58.0
